code,itemType,name,category,subcategory,current price,old price,description,soldByWeight,notifyExpiry,createdAt,updatedAt,minQty,maxQty
ITEM0573EBRG8,Normal Item,27.Hot Dog,Food,NULL,280,250,NULL,0,0,19:12.0,58:26.7,NULL,NULL
ITEM11OS5YJEV,Normal Item,52.Curry Naan,Food,NULL,120,100,NULL,0,0,12:39.2,04:22.1,NULL,NULL
ITEM14MV0AM9I,Normal Item,02.Thati Bread,Bread,NULL,105,95,NULL,0,0,27:10.4,32:01.7,NULL,NULL
ITEM1A2DDYXCQ,Normal Item,40.Fish Pastry,Food,NULL,140,130,NULL,0,0,31:26.1,01:20.7,NULL,NULL
ITEM1P5M8ZTX4,Normal Item,05.Sandwich Bread (L),Bread,NULL,320,300,NULL,0,0,31:03.1,35:32.8,NULL,NULL
ITEM2EP6NXG4P,Normal Item,25.Mini Pizza,Food,NULL,140,120,NULL,0,0,18:04.2,58:06.6,NULL,NULL
ITEM2HPHBGESX,Normal Item,26.Parippu Wade,Food,NULL,85,75,NULL,0,0,18:33.5,50:32.4,NULL,NULL
ITEM2M9LS3REG,Normal Item,09.Dot Bun,Food,NULL,70,70,NULL,0,0,01:19.5,52:38.6,NULL,NULL
ITEM2WDNGCGGM,Normal Item,59.Buffet Rice &Curry,Food,NULL,400,380,NULL,0,0,06:59.7,32:56.1,NULL,NULL
ITEM412XQ9ZMZ,Normal Item,42.Seeni Sambal Biththara Pastry,Food,NULL,150,140,NULL,0,0,32:41.3,02:26.1,NULL,NULL
ITEM418VO51HI,Normal Item,35.Rice & Curry Veg. (Small Pack),Food,NULL,280,260,NULL,0,0,34:19.8,29:12.6,NULL,NULL
ITEM5EO8F2MO2,Normal Item,04.Half Thati Bread,Bread,NULL,80,75,NULL,0,0,29:29.3,33:51.3,NULL,NULL
ITEM6OFDLUEIF,Normal Item,36.Udu Wade,Food,NULL,100,90,NULL,0,0,27:01.7,25:28.9,NULL,NULL
ITEM6VJE747S0,Normal Item,53.Egg Bed Roll,Food,NULL,120,100,NULL,0,0,23:51.3,59:54.1,NULL,NULL
ITEM6YVD6XC4P,Normal Item,22.Egg Patis,Food,NULL,130,120,NULL,0,0,16:57.1,38:34.4,NULL,NULL
ITEM7FGEX1L5J,Normal Item,56.Small Pack Rice & Curry,Food,NULL,300,280,NULL,0,0,37:01.2,30:16.0,NULL,NULL
ITEM9WUGOBRX9,Normal Item,65.Fish/Chicken Gravi,Food,NULL,40,40,NULL,0,0,26:25.6,00:44.8,NULL,NULL
ITEMACEBPXADE,Normal Item,23.Samosa,Food,NULL,130,100,NULL,0,0,17:17.4,38:47.8,NULL,NULL
ITEMAQLNA6O16,Normal Item,30.Naan,Food,NULL,300,200,NULL,0,0,20:30.4,25:48.9,NULL,NULL
ITEMBKAIHVRAG,Normal Item,Chess Sandwitch,Bread,NULL,200,200,NULL,0,0,28:54.8,28:54.8,NULL,NULL
ITEMCK5F3FU2J,Normal Item,41.Egg Pizza,Food,NULL,195,185,NULL,0,0,31:46.0,02:04.1,NULL,NULL
ITEMCKW4O24U6,Normal Item,48.String Hoppers,Food,NULL,250,250,NULL,0,0,06:25.4,26:40.4,NULL,NULL
ITEMDO0JJ6S27,Normal Item,33.Rice & Curry Egg,Food,NULL,440,400,NULL,0,0,25:22.0,28:28.4,NULL,NULL
ITEMDUIKV6X4X,Normal Item,03.Half Bread,Bread,NULL,65,60,NULL,0,0,28:38.7,32:44.5,NULL,NULL
ITEMESCUGF3DL,Normal Item,28.Veg. Rotti,Food,NULL,110,100,NULL,0,0,19:37.8,50:52.7,NULL,NULL
ITEMF96UBQNCD,Normal Item,49.Lavariya,Food,NULL,95,80,NULL,0,0,06:49.8,27:07.0,NULL,NULL
ITEMFDS0UQ295,Normal Item,31.Rice & Curry Veg.,Food,NULL,360,340,NULL,0,0,24:05.4,27:47.3,NULL,NULL
ITEMFWRV7CA9V,Normal Item,16.Lump Rice (Fish),Food,NULL,580,580,NULL,0,0,12:32.1,55:22.8,NULL,NULL
ITEMG6K283IZZ,Normal Item,20.Donut,Food,NULL,160,150,NULL,0,0,35:16.5,29:39.8,NULL,NULL
ITEMGEZ6YAJZP,Normal Item,64.Egg Rotti,Food,NULL,135,120,NULL,0,0,25:24.0,08:41.6,NULL,NULL
ITEMGNYD9YQBN,Normal Item,07.Pol Sambal Bread,Bread,NULL,120,100,NULL,0,0,55:34.9,55:34.9,NULL,NULL
ITEMHETW2W0BQ,Normal Item,15.Lump Rice (Chicken),Food,NULL,580,580,NULL,0,0,11:41.2,55:07.5,NULL,NULL
ITEMHLMTVKOG1,Normal Item,13.Sausage Bun,Food,NULL,100,95,NULL,0,0,03:09.7,57:49.4,NULL,NULL
ITEMHUJ1W5IBD,Normal Item,68. Tuuna Cutlet,Food,NULL,90,90,NULL,0,0,42:17.6,42:17.6,NULL,NULL
ITEMI3QTA1DS7,Normal Item,61.Buffet Rice & Curry Egg,Food,NULL,490,470,NULL,0,0,08:38.0,33:27.6,NULL,NULL
ITEMI8HEQGGML,Normal Item,06.Sandwich Bread (S),Bread,NULL,210,200,NULL,0,0,33:23.6,34:53.2,NULL,NULL
ITEMJZ6R3WG7A,Normal Item,46.Chicken Pastry,Food,NULL,180,165,NULL,0,0,38:47.4,04:05.5,NULL,NULL
ITEMK5ORHXQ5H,Normal Item,39.Chicken Burger,Food,NULL,140,120,NULL,0,0,30:07.6,59:35.1,NULL,NULL
ITEMKLHC8FGZC,Normal Item,60.Buffet Rice & Curry Fish,Food,NULL,550,530,NULL,0,0,07:52.8,33:14.0,NULL,NULL
ITEML4Z9T50IE,Normal Item,14.Sausage Devilled Bun,Food,NULL,130,120,NULL,0,0,04:27.6,38:11.9,NULL,NULL
ITEMLEHXBATQN,Normal Item,34.Rice & Curry Chicken,Food,NULL,520,500,NULL,0,0,26:28.2,07:43.9,NULL,NULL
ITEMLGPDNC7DB,Normal Item,21.Veg. Patis,Food,NULL,95,95,NULL,0,0,16:35.5,03:45.8,NULL,NULL
ITEMLY0YA9G15,Normal Item,17.Lump Rice (Egg),Food,NULL,530,530,NULL,0,0,28:25.6,57:43.7,NULL,NULL
ITEMMLAG6LWG2,Normal Item,Chocolate Tea bun,Food,NULL,70,70,NULL,0,0,32:56.2,32:56.2,NULL,NULL
ITEMNEEPUTO11,Normal Item,11.Fish Bun,Food,NULL,110,95,NULL,0,0,02:07.4,37:32.2,NULL,NULL
ITEMNK5HEQLRD,Normal Item,67.Bread Pack,Food,NULL,450,450,NULL,0,0,51:47.1,52:04.0,NULL,NULL
ITEMNMJHVV9E3,Normal Item,47.Cheese Chicken Roll,Food,NULL,180,160,NULL,0,0,27:44.1,58:51.2,NULL,NULL
ITEMNNI46R04X,Normal Item,63.Chinees Chick; Samba(Set menu),Food,NULL,720,700,NULL,0,0,29:34.1,52:37.9,NULL,NULL
ITEMNQQRBHJLS,Normal Item,62. Buffet Rice & Curry Chicken,Food,NULL,550,530,NULL,0,0,10:35.6,32:24.6,NULL,NULL
ITEMO50P5ZQRV,Normal Item,44.Mushroom Pastry,Food,NULL,140,130,NULL,0,0,35:11.9,03:11.3,NULL,NULL
ITEMO82RNAXL8,Normal Item,55.Small Pack (Sausage/Egg/Kottu/Noodles),Food,NULL,300,280,NULL,0,0,36:03.9,30:07.6,NULL,NULL
ITEMOJDGKBO4U,Normal Item,Pan Cake,Food,NULL,70,70,NULL,0,0,30:57.7,30:57.7,NULL,NULL
ITEMOX6XGOS1B,Normal Item,01.Bread 450g,Bread,NULL,130,120,NULL,0,0,25:31.3,31:08.7,NULL,NULL
ITEMP1UMUDV71,Normal Item,45.Chicken Pizza,Food,NULL,250,220,NULL,0,0,38:08.0,03:36.5,NULL,NULL
ITEMQ5O7MD4WD,Normal Item,12.Seeni Sambal Bun,Food,NULL,110,95,NULL,0,0,02:41.3,37:50.7,NULL,NULL
ITEMQYAEMFDDQ,Normal Item,32.Rice & Curry Fish,Food,NULL,520,500,NULL,0,0,24:36.2,28:09.8,NULL,NULL
ITEMRNFZZI7FG,Normal Item,38.Chicken Drumstick,Food,NULL,200,180,NULL,0,0,29:35.1,59:13.2,NULL,NULL
ITEMS050RGO1I,Normal Item,29.Chicken Rotti,Food,NULL,150,150,NULL,0,0,20:07.1,08:33.4,NULL,NULL
ITEMS0FVXWV4U,Normal Item,57.Small Pack Chicken Rice,Food,NULL,370,350,NULL,0,0,37:31.7,32:41.7,NULL,NULL
ITEMSL5QKDLK2,Normal Item,18.Lump Rice (Veg),Food,NULL,350,350,NULL,0,0,27:59.8,57:55.9,NULL,NULL
ITEMSPB3X9SMY,Normal Item,43.Sausage Pastry,Food,NULL,140,130,NULL,0,0,33:20.3,02:51.3,NULL,NULL
ITEMT0MS335W0,Normal Item,08.Tea Bun,Food,NULL,60,55,NULL,0,0,00:44.5,57:13.7,NULL,NULL
ITEMTNIM9PPTV,Normal Item,Bed Roll,Bread,NULL,70,70,NULL,0,0,51:34.1,51:34.1,NULL,NULL
ITEMUOF4CCCLX,Normal Item,66.Plain Hopper,Food,NULL,35,30,NULL,0,0,01:10.9,51:17.4,NULL,NULL
ITEMV9MJYN4D3,Normal Item,10.Viyana,Food,NULL,85,75,NULL,0,0,01:39.3,57:33.2,NULL,NULL
ITEMXL1A2282L,Normal Item,58.Milk Rice,Food,NULL,270,250,NULL,0,0,16:01.8,26:14.9,NULL,NULL
ITEMY3NELKOEW,Normal Item,24.Rolls,Food,NULL,130,100,NULL,0,0,17:36.1,39:10.0,NULL,NULL
ITEMYB34PTF8L,Normal Item,50.Hoppers,Food,NULL,220,175,NULL,0,0,07:08.1,27:27.1,NULL,NULL
ITEMYU9XLNB8L,Normal Item,51.Donut (Peanut),Food,NULL,170,170,NULL,0,0,11:08.0,16:09.3,NULL,NULL
ITEMZ1PTZJ8MN,Normal Item,37.Malu Biththara Roll,Food,NULL,160,140,NULL,0,0,28:44.1,00:24.6,NULL,NULL
ITEMZKELNRK7A,Normal Item,19.Eclairs,Food,NULL,150,140,NULL,0,0,34:43.6,29:19.7,NULL,NULL
,,,,,24-Mar,,,,,,,,
,,,,,26-Mar,,,,,,,,
,,,,,25-Mar,,,,,,,,
,,,,,27-Mar,,,,,,,,
,,,,,30-Mar,,,,,,,,
,,,,,31-Mar,,,,,,,,
,,,,,26-Mar,,,,,,,,
